Символ;Дистанции
1;Д - 0.017 О - 0.037 Х - 0.04 Ж - 0.047 A - 0.05 Ф - 0.055 Э - 0.056 Ұ - 0.057 Ъ - 0.059 Ә - 0.06 Щ - 0.062 Ц - 0.065 З - 0.072 Ң - 0.078 У - 0.082 Ш - 0.085 Ө - 0.086 Ю - 0.09 Л - 0.091 Н - 0.091 Ч - 0.092 Й - 0.096 М - 0.1 Ы - 0.103 Қ - 0.12 П - 0.121 Я - 0.122 И - 0.123 Ү - 0.125 С - 0.145 К - 0.15 Һ - 0.163 Ғ - 0.187 Б - 0.188 Т - 0.189 В - 0.195 Ь - 0.2 Р - 0.203 Ё - 0.222 Е - 0.233 Г - 0.32 І - 0.612 
2;Е - 0.01 Ё - 0.071 Б - 0.074 К - 0.09 В - 0.124 Р - 0.124 Һ - 0.127 Ь - 0.128 С - 0.154 Қ - 0.16 Й - 0.163 Ю - 0.168 И - 0.171 Н - 0.175 П - 0.178 Ы - 0.185 Ө - 0.185 М - 0.188 Х - 0.194 О - 0.198 Ц - 0.198 Ғ - 0.198 Г - 0.199 Ұ - 0.201 Ф - 0.202 Ж - 0.207 Ң - 0.209 Ш - 0.212 Ә - 0.216 A - 0.226 У - 0.232 Я - 0.232 Щ - 0.233 Д - 0.237 Э - 0.246 З - 0.247 Ъ - 0.253 Ү - 0.257 Ч - 0.289 Т - 0.299 Л - 0.302 І - 0.48 
3;Ё - 0.012 Е - 0.059 Б - 0.096 Ь - 0.096 Һ - 0.103 К - 0.107 С - 0.132 В - 0.153 Й - 0.154 Қ - 0.16 Р - 0.165 Ю - 0.175 Ы - 0.18 Н - 0.182 Ц - 0.182 Х - 0.184 И - 0.185 О - 0.191 Ө - 0.192 П - 0.195 Ұ - 0.197 М - 0.2 Ғ - 0.201 Ф - 0.202 Ш - 0.202 Ж - 0.206 Ң - 0.206 A - 0.209 Ә - 0.212 Г - 0.215 У - 0.22 Д - 0.222 Щ - 0.223 Ъ - 0.231 З - 0.234 Э - 0.237 Я - 0.24 Ү - 0.252 Ч - 0.285 Л - 0.291 Т - 0.296 І - 0.508 
4;Ж - 0.007 Ф - 0.007 О - 0.027 Х - 0.038 Ю - 0.044 Ә - 0.047 Ө - 0.048 Н - 0.055 Ұ - 0.055 М - 0.058 Д - 0.062 A - 0.064 Ш - 0.068 Щ - 0.073 Ц - 0.074 Ы - 0.074 Э - 0.078 Ң - 0.078 Й - 0.08 И - 0.086 Ъ - 0.088 З - 0.096 П - 0.096 У - 0.097 Қ - 0.106 Я - 0.109 Ч - 0.116 К - 0.117 Л - 0.125 Ү - 0.138 С - 0.142 Һ - 0.148 Б - 0.156 В - 0.16 Р - 0.17 Ғ - 0.179 Ь - 0.183 Т - 0.203 Е - 0.207 Ё - 0.209 Г - 0.302 І - 0.585 
5;З - 0.012 Э - 0.031 Ә - 0.058 Я - 0.076 Л - 0.084 Ө - 0.089 Й - 0.09 О - 0.091 Д - 0.092 Н - 0.092 Х - 0.095 Ж - 0.098 Ч - 0.098 М - 0.101 Ф - 0.101 Ш - 0.109 И - 0.11 Ұ - 0.113 A - 0.117 П - 0.124 Ъ - 0.125 Ы - 0.125 Ю - 0.126 Ц - 0.132 Ң - 0.138 Щ - 0.14 У - 0.152 К - 0.17 Қ - 0.171 В - 0.177 Ү - 0.182 Б - 0.188 С - 0.199 Һ - 0.204 Ь - 0.223 Р - 0.225 Т - 0.235 Ё - 0.236 Ғ - 0.242 Е - 0.245 Г - 0.364 І - 0.56 
6;И - 0.012 М - 0.04 Н - 0.043 Ө - 0.047 Й - 0.071 Я - 0.075 Ә - 0.077 В - 0.081 Ю - 0.083 Ы - 0.091 П - 0.092 Ф - 0.095 Ж - 0.101 К - 0.104 Ш - 0.105 О - 0.107 Б - 0.111 Х - 0.113 Э - 0.115 З - 0.119 Ұ - 0.129 Д - 0.145 A - 0.147 Ц - 0.152 Ң - 0.153 Қ - 0.158 Р - 0.163 Щ - 0.166 Ч - 0.167 Ъ - 0.171 Л - 0.174 Һ - 0.176 У - 0.182 Е - 0.183 Ь - 0.186 С - 0.192 Ё - 0.2 Ү - 0.213 Ғ - 0.231 Т - 0.269 Г - 0.323 І - 0.492 
7;Й - 0.015 Н - 0.053 Ө - 0.057 И - 0.059 Ә - 0.065 Ы - 0.068 М - 0.069 Ш - 0.077 Ю - 0.083 О - 0.086 Х - 0.088 Ф - 0.089 Ж - 0.092 З - 0.096 К - 0.096 Э - 0.099 Я - 0.101 В - 0.103 Б - 0.104 П - 0.112 A - 0.114 Ұ - 0.115 Д - 0.119 Ц - 0.122 Ъ - 0.137 Һ - 0.14 Ң - 0.141 Қ - 0.144 Щ - 0.146 Ь - 0.147 С - 0.159 У - 0.162 Л - 0.163 Ч - 0.165 Ё - 0.167 Е - 0.17 Р - 0.179 Ү - 0.202 Ғ - 0.221 Т - 0.262 Г - 0.315 І - 0.513 
8;К - 0.008 Б - 0.05 Ю - 0.076 Й - 0.085 Н - 0.087 В - 0.088 И - 0.089 Һ - 0.096 Ө - 0.096 Е - 0.097 М - 0.099 Ы - 0.099 Қ - 0.105 Р - 0.109 П - 0.11 Ф - 0.111 Х - 0.111 О - 0.113 Ё - 0.116 Ь - 0.116 Ж - 0.117 С - 0.12 Ұ - 0.123 Ш - 0.125 Ц - 0.126 Ә - 0.128 Ң - 0.137 A - 0.144 Щ - 0.155 Д - 0.156 Я - 0.156 У - 0.163 Э - 0.164 З - 0.169 Ғ - 0.171 Ъ - 0.173 Ү - 0.197 Ч - 0.21 Л - 0.221 Г - 0.237 Т - 0.251 І - 0.512 
9;Қ - 0.011 Ң - 0.057 Ұ - 0.062 Ц - 0.066 С - 0.072 Х - 0.076 У - 0.079 Ю - 0.081 О - 0.083 Щ - 0.089 Ғ - 0.089 Ф - 0.092 К - 0.093 Ж - 0.095 П - 0.101 Ү - 0.105 Д - 0.11 Н - 0.111 Р - 0.111 Һ - 0.112 A - 0.113 Ө - 0.116 Й - 0.122 М - 0.125 Ә - 0.131 Ъ - 0.134 Ы - 0.134 И - 0.136 Ш - 0.142 Б - 0.145 Э - 0.147 Е - 0.155 Ё - 0.157 З - 0.159 Т - 0.159 Ч - 0.164 Ь - 0.166 Я - 0.17 В - 0.175 Л - 0.183 Г - 0.21 І - 0.597 
10;Л - 0.008 Ч - 0.037 Э - 0.057 З - 0.068 Д - 0.092 Ә - 0.103 Я - 0.114 О - 0.115 Ж - 0.117 Х - 0.118 Ұ - 0.119 Ф - 0.122 Ъ - 0.129 A - 0.133 Щ - 0.133 Ң - 0.134 Ө - 0.134 У - 0.139 Н - 0.14 М - 0.143 Ц - 0.146 П - 0.147 Ш - 0.153 Ү - 0.153 Й - 0.154 Ю - 0.158 И - 0.163 Ы - 0.174 Қ - 0.185 Т - 0.197 К - 0.218 С - 0.223 В - 0.239 Ғ - 0.242 Һ - 0.247 Б - 0.249 Р - 0.251 Ь - 0.279 Ё - 0.29 Е - 0.298 Г - 0.382 І - 0.625 
